KPI_ID,Month,KPI_Name,KPI_Value,Initiative_ID
1,2025-02-28,Change Adoption Rate,79.28810017666734,398
2,2025-03-31,Cost Efficiency,97.70696038388084,1660
3,2025-04-30,Change Adoption Rate,30.247203468707827,523
4,2025-05-31,Change Adoption Rate,33.97402906823669,341
5,2025-06-30,Change Adoption Rate,46.20275043421002,344
6,2025-07-31,Change Adoption Rate,31.35000677037947,1719
7,2025-08-31,Employee Engagement,12.869882554453227,1935
8,2025-09-30,Employee Engagement,9.156458154365566,42
9,2025-10-31,Employee Engagement,63.982399031717364,1141
10,2025-11-30,Employee Engagement,21.308783842388003,1060
11,2025-12-31,Employee Engagement,12.153769849993335,94
12,2026-01-31,Cost Efficiency,35.594259801701135,25
13,2026-02-28,Change Adoption Rate,69.50000297362818,1016
14,2026-03-31,Cost Efficiency,25.773005189538512,1892
15,2026-04-30,Cost Efficiency,0.21817080398462974,1953
16,2026-05-31,Change Adoption Rate,88.63989720448794,210
17,2026-06-30,Employee Engagement,0.5431497416190312,58
18,2026-07-31,Change Adoption Rate,75.59812942434354,1176
19,2026-08-31,Cost Efficiency,12.360585797176338,167
20,2026-09-30,Cost Efficiency,90.6614225323814,1111
21,2026-10-31,Cost Efficiency,62.76681270774452,1150
22,2026-11-30,Cost Efficiency,13.768325709227547,1130
23,2026-12-31,Change Adoption Rate,38.786446837665686,455
24,2027-01-31,Change Adoption Rate,63.41919461717449,1049
25,2027-02-28,Employee Engagement,64.12236169972452,1898
26,2027-03-31,Change Adoption Rate,97.8299196990709,134
27,2027-04-30,Employee Engagement,18.03721647668548,1400
28,2027-05-31,Change Adoption Rate,19.452430793331764,1524
29,2027-06-30,Change Adoption Rate,60.06163888701296,1672
30,2027-07-31,Change Adoption Rate,53.97953261042855,1307
31,2027-08-31,Cost Efficiency,23.367386881784313,429
32,2027-09-30,Cost Efficiency,80.27573448878988,1920
33,2027-10-31,Employee Engagement,38.647659864109144,1434
34,2027-11-30,Cost Efficiency,3.94751295086051,1616
35,2027-12-31,Cost Efficiency,54.45927170231697,999
36,2028-01-31,Cost Efficiency,28.60436211033992,912
37,2028-02-29,Change Adoption Rate,1.0888449251713173,1912
38,2028-03-31,Employee Engagement,74.40347244760187,420
39,2028-04-30,Cost Efficiency,1.2561328309679598,17
40,2028-05-31,Cost Efficiency,34.57364450672023,362
41,2028-06-30,Employee Engagement,67.7418438792176,599
42,2028-07-31,Cost Efficiency,87.2702855927025,169
43,2028-08-31,Cost Efficiency,56.82295755818858,1061
44,2028-09-30,Cost Efficiency,77.70991190522344,430
45,2028-10-31,Change Adoption Rate,58.11216500399136,576
46,2028-11-30,Employee Engagement,45.11645814286903,171
47,2028-12-31,Employee Engagement,34.71443393313734,1962
48,2029-01-31,Change Adoption Rate,32.885202949280824,103
49,2029-02-28,Employee Engagement,59.664101684337176,245
50,2029-03-31,Employee Engagement,40.03893410578071,149
51,2029-04-30,Change Adoption Rate,51.83761636564975,1567
52,2029-05-31,Change Adoption Rate,69.7497450091934,907
53,2029-06-30,Cost Efficiency,36.910257615784346,1690
54,2029-07-31,Cost Efficiency,21.98678193348641,1434
55,2029-08-31,Change Adoption Rate,56.3640048774718,1997
56,2029-09-30,Cost Efficiency,66.28355796786212,516
57,2029-10-31,Employee Engagement,38.52555627431264,305
58,2029-11-30,Change Adoption Rate,35.78002779473684,549
59,2029-12-31,Change Adoption Rate,40.45626658654625,1959
60,2030-01-31,Employee Engagement,50.81515513643181,299
61,2030-02-28,Employee Engagement,93.76493571180485,253
62,2030-03-31,Change Adoption Rate,20.278803537347436,270
63,2030-04-30,Change Adoption Rate,39.556499109343356,648
64,2030-05-31,Change Adoption Rate,76.8679936792459,1547
65,2030-06-30,Change Adoption Rate,4.525113538523263,128
66,2030-07-31,Change Adoption Rate,4.1641358011255125,1990
67,2030-08-31,Employee Engagement,90.33696187193303,1281
68,2030-09-30,Employee Engagement,75.42338881257918,357
69,2030-10-31,Change Adoption Rate,91.15852874505367,1183
70,2030-11-30,Change Adoption Rate,50.04750907676206,1639
71,2030-12-31,Change Adoption Rate,84.65317214399796,167
72,2031-01-31,Cost Efficiency,63.57864771512125,256
73,2031-02-28,Change Adoption Rate,45.74452908756579,226
74,2031-03-31,Change Adoption Rate,33.01154255612161,223
75,2031-04-30,Cost Efficiency,10.39476687247889,1646
76,2031-05-31,Employee Engagement,26.7024088424875,1348
77,2031-06-30,Cost Efficiency,32.88955358620159,181
78,2031-07-31,Employee Engagement,55.33352277691862,547
79,2031-08-31,Change Adoption Rate,11.906007036979494,1474
80,2031-09-30,Employee Engagement,38.750741300438406,1460
81,2031-10-31,Change Adoption Rate,1.4321345212688907,1690
82,2031-11-30,Employee Engagement,73.60931865358522,491
83,2031-12-31,Cost Efficiency,47.82400610471973,1077
84,2032-01-31,Cost Efficiency,10.034973864891883,271
85,2032-02-29,Cost Efficiency,50.208804185081256,1470
86,2032-03-31,Employee Engagement,63.4885273623406,22
87,2032-04-30,Cost Efficiency,92.34350488711775,1043
88,2032-05-31,Change Adoption Rate,23.532007071464466,1457
89,2032-06-30,Employee Engagement,29.82030797810723,778
90,2032-07-31,Employee Engagement,59.367512557997394,1146
91,2032-08-31,Employee Engagement,58.37730649150525,464
92,2032-09-30,Change Adoption Rate,24.135991901808996,938
93,2032-10-31,Change Adoption Rate,24.56209614151662,1483
94,2032-11-30,Employee Engagement,86.48468047941917,91
95,2032-12-31,Employee Engagement,63.9466742587488,1906
96,2025-01-31,Change Adoption Rate,25.807215597022637,1521
97,2025-02-28,Cost Efficiency,64.44882960167052,848
98,2025-03-31,Cost Efficiency,68.12968399201345,572
99,2025-04-30,Employee Engagement,62.908995634964384,500
100,2025-05-31,Change Adoption Rate,47.48109910171523,247
101,2025-06-30,Change Adoption Rate,96.36271084761785,133
102,2025-07-31,Change Adoption Rate,5.211882084377562,109
103,2025-08-31,Cost Efficiency,96.24797283273003,925
