Initiative_ID,Change_Type,Outcome,ROI,Time_Taken
1,Technology Change,Unsuccessful,0.673421134335433,8
2,Process Change,Partially Successful,1.2672265560839764,6
3,Technology Change,Partially Successful,-0.04490454210569078,11
4,Process Change,Successful,1.1132138939602307,18
5,Technology Change,Successful,1.7128438207514707,23
6,Process Change,Successful,0.06298107491804505,21
7,Cultural Change,Successful,1.2588261334911608,14
8,Technology Change,Successful,0.38074791578877076,10
9,Process Change,Partially Successful,1.9168508484141453,21
10,Cultural Change,Unsuccessful,0.1938567312472882,6
11,Process Change,Unsuccessful,-0.3430521570682389,18
12,Process Change,Unsuccessful,1.9943355560670435,21
13,Technology Change,Partially Successful,1.293025080790176,3
14,Process Change,Successful,0.9770240750585326,14
15,Cultural Change,Successful,0.8123959519577713,5
16,Cultural Change,Successful,0.2939102213506253,18
17,Technology Change,Partially Successful,0.04200177404220673,5
18,Process Change,Successful,-0.11778301774827066,18
19,Cultural Change,Partially Successful,-0.06995013253326143,21
20,Cultural Change,Successful,0.6046527553078855,15
21,Process Change,Unsuccessful,0.3506588872278692,6
22,Technology Change,Unsuccessful,-0.0791423785508148,4
23,Process Change,Partially Successful,-0.06010491643708826,8
24,Process Change,Successful,1.0575217506873376,1
25,Technology Change,Successful,1.0123808131626604,22
26,Cultural Change,Partially Successful,1.0514341457797907,8
27,Technology Change,Successful,0.7132858756080278,6
28,Cultural Change,Successful,0.03978359518417007,16
29,Cultural Change,Successful,0.5193088262633347,19
30,Process Change,Successful,1.9773972202838457,11
31,Cultural Change,Successful,1.997751940073865,11
32,Process Change,Successful,0.0862312819888218,20
33,Technology Change,Successful,0.6957890724048237,19
34,Technology Change,Partially Successful,0.9119688692677157,12
35,Process Change,Partially Successful,-0.24738234193484598,14
36,Technology Change,Successful,0.8090427649623979,1
37,Process Change,Unsuccessful,-0.07418526577741597,9
38,Process Change,Successful,0.031057297131924733,2
39,Cultural Change,Successful,1.9302845610380057,17
40,Process Change,Unsuccessful,-0.35195111258828,1
41,Technology Change,Successful,0.39084795721819876,9
42,Cultural Change,Unsuccessful,-0.27785172149200993,17
43,Technology Change,Successful,1.0324893728101896,2
44,Cultural Change,Successful,1.4693823195673552,21
45,Cultural Change,Unsuccessful,1.4417403682086218,21
46,Technology Change,Partially Successful,-0.022294228495796486,16
47,Cultural Change,Unsuccessful,0.8595033898262443,10
48,Process Change,Successful,0.3623421958766251,5
49,Technology Change,Unsuccessful,1.6194654494093554,7
50,Technology Change,Partially Successful,-0.37218748633779897,18
51,Cultural Change,Successful,1.6126358580915845,8
52,Cultural Change,Unsuccessful,0.32637939625037093,14
53,Technology Change,Unsuccessful,-0.06470553950443864,17
54,Cultural Change,Unsuccessful,1.3736480695595346,16
55,Cultural Change,Partially Successful,-0.22987896062610463,3
56,Process Change,Partially Successful,-0.1296988866194022,18
57,Technology Change,Partially Successful,0.521380538963067,17
58,Cultural Change,Successful,-0.15869516012166363,19
59,Process Change,Partially Successful,0.5657430181093708,15
60,Process Change,Unsuccessful,0.4071541150260226,12
61,Cultural Change,Successful,1.173980682772522,4
62,Technology Change,Successful,0.965472086583177,15
63,Process Change,Unsuccessful,1.3610553304158786,22
64,Process Change,Partially Successful,-0.027450401438537775,18
65,Cultural Change,Partially Successful,1.8040492636690244,15
66,Technology Change,Partially Successful,0.3887619593987097,13
67,Technology Change,Successful,1.2170387880638105,6
68,Technology Change,Successful,0.16074606220914966,11
69,Cultural Change,Unsuccessful,1.8850204283335437,2
70,Technology Change,Unsuccessful,1.0568940200194152,16
71,Technology Change,Partially Successful,0.9345926279228649,3
72,Cultural Change,Partially Successful,1.1460247744032572,7
73,Cultural Change,Successful,0.03995950940993209,18
74,Process Change,Successful,1.1530435262132939,2
75,Cultural Change,Partially Successful,1.0085961314819043,23
76,Technology Change,Unsuccessful,1.1473879564273228,17
77,Cultural Change,Unsuccessful,-0.4203842724128233,2
78,Cultural Change,Unsuccessful,1.3618518936964643,20
79,Technology Change,Successful,0.06788876782014186,14
80,Process Change,Successful,0.5411513177936769,11
81,Process Change,Successful,0.4402501278732942,7
82,Technology Change,Partially Successful,1.5925297036068455,1
83,Process Change,Successful,-0.26425975230372695,1
84,Technology Change,Partially Successful,-0.28993823013777964,8
85,Process Change,Partially Successful,1.956248165781572,18
86,Cultural Change,Successful,0.9262973542855941,18
87,Technology Change,Unsuccessful,0.09988637211517903,10
88,Technology Change,Successful,-0.47276426086785156,13
89,Process Change,Successful,-0.26585311766982267,23
90,Technology Change,Unsuccessful,-0.17097635312362897,21
91,Cultural Change,Successful,0.8925057078751606,19
92,Process Change,Successful,-0.1916701948855863,15
93,Process Change,Partially Successful,-0.04472555912370901,1
94,Process Change,Unsuccessful,0.8020216190809348,10
95,Cultural Change,Successful,0.05631298203480095,11
96,Cultural Change,Successful,1.6751196382187272,3
97,Process Change,Successful,0.7089291148362729,9
98,Technology Change,Partially Successful,0.6249975047051706,4
99,Process Change,Unsuccessful,1.5375543701909704,12
100,Process Change,Successful,0.5946894840761747,4
101,Technology Change,Successful,0.4796089794771645,23
102,Technology Change,Partially Successful,1.6143777066772786,5
103,Technology Change,Partially Successful,1.8549243423414938,13
104,Process Change,Successful,1.491116056214945,2
105,Process Change,Partially Successful,1.631190005936832,14
106,Cultural Change,Partially Successful,0.13605598057447676,20
107,Process Change,Partially Successful,-0.3354096713123382,11
108,Process Change,Successful,1.474744801145131,8
109,Cultural Change,Unsuccessful,-0.05397945790743719,23
110,Technology Change,Successful,-0.06057044162187897,19
111,Technology Change,Partially Successful,0.4943155495366396,2
112,Technology Change,Partially Successful,1.6319185122868336,7
113,Cultural Change,Partially Successful,1.0623869400329933,22
114,Cultural Change,Successful,1.172425043139927,10
115,Technology Change,Successful,1.8993426195718648,16
116,Cultural Change,Successful,0.9921832698578292,11
117,Technology Change,Partially Successful,0.33659268867304015,10
118,Cultural Change,Unsuccessful,1.2564813191554127,11
119,Process Change,Unsuccessful,1.1478433419391203,3
120,Process Change,Successful,1.1985873340671531,20
121,Cultural Change,Partially Successful,-0.2284555015898802,18
122,Technology Change,Unsuccessful,-0.459962295329379,2
123,Technology Change,Partially Successful,-0.2603902024247982,6
124,Cultural Change,Unsuccessful,-0.3048402714936894,15
125,Process Change,Partially Successful,1.8793973889886733,21
126,Technology Change,Unsuccessful,1.9829379473734456,10
127,Technology Change,Unsuccessful,0.9062146138621947,1
128,Cultural Change,Successful,1.213700849415477,5
129,Technology Change,Partially Successful,1.25824355992861,8
130,Process Change,Unsuccessful,1.2283098074068592,22
131,Cultural Change,Partially Successful,-0.4936102898103851,22
132,Cultural Change,Unsuccessful,-0.3252550719419518,21
133,Technology Change,Partially Successful,1.7387346641201282,6
134,Process Change,Partially Successful,1.2378940337446533,3
135,Cultural Change,Partially Successful,-0.25454312195134704,19
136,Cultural Change,Unsuccessful,1.6566778030113154,15
137,Process Change,Unsuccessful,-0.332193189511918,9
138,Process Change,Partially Successful,1.4086781839310205,9
139,Cultural Change,Successful,0.8505182651152698,13
140,Technology Change,Partially Successful,1.066395475314302,17
141,Technology Change,Partially Successful,0.20327270927228014,5
142,Process Change,Unsuccessful,1.6912333956277479,20
143,Cultural Change,Partially Successful,1.1506939726778656,9
144,Cultural Change,Unsuccessful,1.7661399709123273,1
145,Process Change,Unsuccessful,1.5766119060951707,21
146,Technology Change,Unsuccessful,0.04641220260912693,15
147,Process Change,Successful,-0.10901523584463485,23
148,Process Change,Unsuccessful,0.3259607737684904,14
149,Technology Change,Successful,1.1783716677327976,9
150,Cultural Change,Partially Successful,1.236331740177048,11
151,Technology Change,Partially Successful,0.4823219064551172,5
152,Technology Change,Partially Successful,0.7648486695333283,5
153,Process Change,Unsuccessful,1.2337954739965766,5
154,Technology Change,Successful,1.3046764112091498,10
155,Process Change,Unsuccessful,-0.4424867886068538,21
156,Technology Change,Unsuccessful,1.6238987285324926,12
157,Process Change,Successful,-0.21463808061483663,12
158,Cultural Change,Partially Successful,1.1204124253278707,14
159,Cultural Change,Successful,0.22434329551178622,9
160,Process Change,Partially Successful,1.0490879121376593,14
161,Cultural Change,Partially Successful,-0.15211524545377647,9
162,Cultural Change,Partially Successful,1.1507327808727816,11
163,Cultural Change,Unsuccessful,0.38490287321048855,17
164,Cultural Change,Successful,1.4748537611884918,14
165,Process Change,Unsuccessful,0.48755078215551717,20
166,Process Change,Partially Successful,-0.36679120494356826,3
167,Cultural Change,Unsuccessful,1.15850541422838,15
168,Technology Change,Successful,0.32432668084667626,7
169,Process Change,Unsuccessful,0.6759843762346078,9
170,Cultural Change,Partially Successful,1.9571833503991942,17
171,Technology Change,Partially Successful,0.8306284785309184,6
172,Technology Change,Partially Successful,1.680156066238748,16
173,Cultural Change,Partially Successful,0.571225654062216,16
174,Process Change,Partially Successful,-0.03277119667184758,7
175,Technology Change,Partially Successful,1.2573620921597224,18
176,Process Change,Unsuccessful,-0.1356843801253736,23
177,Cultural Change,Successful,1.276551487384378,14
178,Cultural Change,Partially Successful,0.5295486477199878,16
179,Cultural Change,Successful,1.0245888767543805,10
180,Technology Change,Unsuccessful,1.4955127062288476,14
181,Technology Change,Unsuccessful,-0.181774179764904,17
182,Cultural Change,Successful,0.3355865250070915,13
183,Process Change,Successful,1.9936889246450633,18
184,Process Change,Successful,0.9042855741959417,17
185,Technology Change,Unsuccessful,-0.17695161360878547,11
186,Process Change,Successful,0.15016309319504306,17
187,Process Change,Unsuccessful,0.2787599444641391,10
188,Process Change,Successful,0.014001270725976678,10
189,Technology Change,Partially Successful,1.541624883571303,18
190,Process Change,Partially Successful,1.597389045459639,12
191,Process Change,Unsuccessful,0.4602362949306448,8
192,Process Change,Partially Successful,0.6428931401484412,20
193,Cultural Change,Unsuccessful,0.6691956247649666,7
194,Technology Change,Successful,1.4980408964767093,11
195,Technology Change,Partially Successful,-0.4711690626492422,3
196,Technology Change,Unsuccessful,-0.45730662308464104,10
197,Cultural Change,Unsuccessful,0.08722440923347308,14
198,Cultural Change,Successful,0.24192295574627365,16
199,Process Change,Partially Successful,1.9393697721406635,16
200,Cultural Change,Successful,-0.08364016999868146,6
201,Technology Change,Partially Successful,1.5839326735165762,23
202,Technology Change,Unsuccessful,0.008546483771666669,8
203,Technology Change,Successful,0.19672390727422462,14
204,Process Change,Partially Successful,0.44550022788233434,23
205,Cultural Change,Successful,1.48563699863759,9
206,Process Change,Successful,0.47595640725624766,1
207,Technology Change,Partially Successful,0.5783285073649633,21
208,Cultural Change,Successful,0.7052565304055456,1
209,Technology Change,Successful,0.1214522224301583,12
210,Technology Change,Successful,1.8914565255542635,19
211,Technology Change,Unsuccessful,0.37667927611884,5
212,Technology Change,Successful,0.2537611408223954,13
213,Cultural Change,Unsuccessful,0.7054902159009859,14
214,Technology Change,Unsuccessful,1.6366247855120162,18
215,Technology Change,Partially Successful,0.7837410907617086,11
216,Cultural Change,Partially Successful,-0.02646178821987627,3
217,Technology Change,Unsuccessful,0.01861508082949226,9
218,Cultural Change,Unsuccessful,0.22465749316207584,16
219,Technology Change,Successful,1.9151836490683998,11
220,Technology Change,Partially Successful,0.4099916970286026,11
221,Process Change,Unsuccessful,1.6696510717054078,7
222,Technology Change,Partially Successful,1.5981808035533254,13
223,Technology Change,Unsuccessful,0.4037670139532119,7
224,Process Change,Successful,0.9450071353872938,21
225,Technology Change,Unsuccessful,0.42330254128015343,18
226,Process Change,Successful,-0.07471512282465853,4
227,Process Change,Partially Successful,1.533000093833091,15
228,Technology Change,Successful,0.9201977540820574,22
229,Process Change,Partially Successful,1.3839817306010587,11
230,Process Change,Unsuccessful,0.0050859028170016085,4
231,Cultural Change,Successful,0.7736001988385164,19
232,Technology Change,Partially Successful,-0.4882490282993139,11
233,Process Change,Successful,1.9996264356793212,20
234,Technology Change,Partially Successful,0.5170596281169508,22
235,Technology Change,Unsuccessful,0.7600991176032397,3
236,Technology Change,Unsuccessful,1.1394144239956105,16
237,Process Change,Unsuccessful,-0.495345084382925,22
238,Process Change,Successful,1.6770007593432803,9
239,Cultural Change,Unsuccessful,0.7958805433599156,23
240,Cultural Change,Unsuccessful,-0.3374125797257672,19
241,Cultural Change,Unsuccessful,1.0236187852658198,8
242,Technology Change,Unsuccessful,1.5952936057135672,14
243,Technology Change,Successful,1.360140352149588,5
244,Cultural Change,Partially Successful,-0.3330143473131898,14
245,Process Change,Partially Successful,0.44898075911009516,1
246,Process Change,Partially Successful,-0.09389993161386123,23
247,Process Change,Successful,-0.37503764731625794,7
248,Process Change,Partially Successful,0.8958758308552202,1
249,Technology Change,Partially Successful,0.37863502572897545,11
250,Cultural Change,Partially Successful,0.11613360781148008,12
251,Technology Change,Successful,0.3686332937969641,10
252,Process Change,Unsuccessful,0.9641826692912834,2
253,Cultural Change,Unsuccessful,-0.17674280534411763,17
254,Cultural Change,Successful,0.6800970087636178,2
255,Process Change,Successful,0.9541600537739627,23
256,Technology Change,Successful,0.720040658793164,18
257,Cultural Change,Unsuccessful,0.12653367683647598,1
258,Technology Change,Partially Successful,-0.0022834259969340964,20
259,Process Change,Partially Successful,1.8732660699057493,6
260,Cultural Change,Successful,-0.2841353154287186,23
261,Process Change,Partially Successful,0.656592402668366,8
262,Cultural Change,Unsuccessful,1.5053737539539225,19
263,Cultural Change,Unsuccessful,-0.019886831300881924,3
264,Process Change,Successful,1.6753000303797663,13
265,Cultural Change,Successful,1.9322473940204938,2
266,Process Change,Partially Successful,-0.38081869063637735,5
267,Cultural Change,Partially Successful,0.37667790339718255,21
268,Cultural Change,Partially Successful,0.1768523010922578,8
269,Process Change,Unsuccessful,0.7479521388242711,11
270,Cultural Change,Unsuccessful,0.3599801387579833,9
271,Cultural Change,Unsuccessful,0.5456651557042853,14
272,Process Change,Unsuccessful,0.38547445216277754,22
273,Technology Change,Successful,0.91926066641916,13
274,Process Change,Partially Successful,-0.41216013392845263,9
275,Process Change,Unsuccessful,0.6959482602334213,13
276,Technology Change,Unsuccessful,0.31877044626211726,23
277,Process Change,Unsuccessful,0.08573371558971299,11
278,Technology Change,Unsuccessful,0.9755852492689403,13
279,Process Change,Successful,1.61541097139563,16
280,Process Change,Successful,1.6422854249094065,12
281,Technology Change,Successful,1.3498276336276231,17
282,Cultural Change,Unsuccessful,1.2711530445063346,19
283,Technology Change,Unsuccessful,1.7022102405758006,19
284,Process Change,Unsuccessful,1.5602361386404406,3
285,Cultural Change,Partially Successful,-0.2288298590953884,1
286,Cultural Change,Partially Successful,1.6543907322492655,5
287,Process Change,Unsuccessful,0.5669690073738809,7
288,Cultural Change,Partially Successful,0.7416021256670484,23
289,Process Change,Unsuccessful,0.3985052089825327,22
290,Process Change,Unsuccessful,1.8205265025201518,21
291,Process Change,Partially Successful,1.0696870211655378,8
292,Technology Change,Unsuccessful,0.3724480884248773,12
293,Process Change,Partially Successful,1.3896148039203153,15
294,Cultural Change,Partially Successful,-0.14765687607992473,18
295,Process Change,Unsuccessful,0.8058491794721943,4
296,Cultural Change,Unsuccessful,0.9163369612692123,16
297,Cultural Change,Unsuccessful,1.6670369880959495,10
298,Technology Change,Unsuccessful,-0.42638729831961053,23
299,Cultural Change,Partially Successful,-0.427665797622455,15
300,Technology Change,Unsuccessful,1.337239192426641,22
301,Process Change,Successful,-0.1672530189055475,3
302,Cultural Change,Unsuccessful,1.0697948672666566,3
303,Technology Change,Successful,1.2382820455394787,22
304,Cultural Change,Successful,0.6212967113750603,6
305,Technology Change,Unsuccessful,1.150603166423272,16
306,Process Change,Unsuccessful,-0.27962419103935887,13
307,Process Change,Partially Successful,1.2554247853338365,13
308,Cultural Change,Unsuccessful,1.4094957348276587,14
